日期,TWSE收盤指數,TWSE開盤價,TWSE最高價,TWSE最低價,TWSE漲跌點數,TWSE漲跌幅,TPEX收盤指數,TPEX開盤價,TPEX最高價,TPEX最低價,TPEX漲跌點數,TPEX漲跌幅
2019-04-10,,,,,,,142.81,142.79,143.14,142.57,0.02,
2019-04-11,,,,,,,141.9,142.96,143.57,141.9,-0.91,
2019-04-12,,,,,,,140.78,141.99,142.32,140.78,-1.12,
2019-04-15,,,,,,,141.86,141.0,142.0,141.0,1.08,
2019-04-16,,,,,,,142.73,141.92,142.73,141.92,0.87,
2019-04-17,,,,,,,143.49,142.92,143.95,142.92,0.76,
2019-04-18,,,,,,,142.67,143.65,144.82,142.49,-0.82,
2019-04-19,,,,,,,143.56,142.9,144.22,142.83,0.89,
2019-04-22,,,,,,,143.76,143.67,144.39,143.67,0.2,
2019-04-23,,,,,,,143.47,143.81,144.15,142.86,-0.29,
2019-04-24,,,,,,,143.48,143.51,144.36,143.45,0.01,
2019-04-25,,,,,,,143.76,143.51,143.79,143.11,0.28,
2019-04-26,,,,,,,142.03,143.48,143.48,141.91,-1.73,
2019-04-29,,,,,,,139.64,141.95,142.15,139.61,-2.39,
2019-04-30,,,,,,,140.44,139.54,140.44,138.92,0.8,
2019-05-02,,,,,,,141.36,140.23,141.36,140.16,0.92,
2019-05-03,,,,,,,142.46,141.33,142.54,141.33,1.1,
2019-05-06,,,,,,,139.71,141.94,141.94,139.68,-2.75,
2019-05-07,,,,,,,141.34,139.84,141.55,139.84,1.63,
2019-05-08,,,,,,,140.83,141.08,141.27,139.91,-0.51,
2019-05-09,,,,,,,138.03,140.84,141.19,137.6,-2.8,
2019-05-10,,,,,,,137.5,138.17,139.39,136.73,-0.53,
2019-05-13,,,,,,,135.04,137.56,137.56,134.99,-2.46,
2019-05-14,,,,,,,135.43,134.58,135.43,131.83,0.39,
2019-05-15,,,,,,,136.68,135.47,137.08,135.47,1.25,
2019-05-16,,,,,,,134.67,136.63,136.92,134.67,-2.01,
2019-05-17,,,,,,,132.41,134.75,135.93,132.41,-2.26,
2019-05-20,,,,,,,131.6,132.4,133.05,131.19,-0.81,
2019-05-21,,,,,,,132.92,131.3,132.92,130.73,1.32,
2019-05-22,,,,,,,132.95,133.09,134.33,132.95,0.03,
2019-05-23,,,,,,,131.53,132.75,132.75,130.74,-1.42,
2019-05-24,,,,,,,131.38,131.53,132.37,131.38,-0.15,
2019-05-27,,,,,,,131.03,131.49,132.02,130.57,-0.35,
2019-05-28,,,,,,,131.64,131.08,131.64,130.83,0.61,
2019-05-29,,,,,,,131.15,131.5,131.5,130.45,-0.49,
2019-05-30,,,,,,,131.8,131.13,132.07,131.13,0.65,
2019-05-31,,,,,,,133.5,131.88,133.75,131.88,1.7,
2019-06-03,,,,,,,132.69,133.38,133.38,132.22,-0.81,
2019-06-04,,,,,,,132.13,132.74,133.4,132.08,-0.56,
2019-06-05,,,,,,,132.24,132.45,133.79,132.24,0.11,
2019-06-06,,,,,,,131.34,132.15,132.56,131.24,-0.9,
2019-06-10,,,,,,,133.25,131.56,133.25,131.56,1.91,
2019-06-11,,,,,,,133.86,133.2,133.95,133.2,0.61,
2019-06-12,,,,,,,134.38,133.84,134.57,133.84,0.52,
2019-06-13,,,,,,,134.57,134.23,134.82,133.98,0.19,
2019-06-14,,,,,,,134.03,134.47,134.93,133.93,-0.54,
2019-06-17,,,,,,,134.54,133.94,134.77,133.92,0.51,
2019-06-18,,,,,,,134.39,134.6,135.01,134.36,-0.15,
2019-06-19,,,,,,,136.08,134.73,136.13,134.73,1.69,
2019-06-20,,,,,,,137.14,136.13,137.19,136.13,1.06,
2019-06-21,,,,,,,136.89,137.31,137.9,136.66,-0.25,
2019-06-24,,,,,,,137.34,136.84,137.34,136.49,0.45,
2019-06-25,,,,,,,136.06,137.34,137.56,135.95,-1.28,
2019-06-26,,,,,,,136.17,136.0,136.18,135.61,0.11,
2019-06-27,,,,,,,136.8,136.13,137.01,136.13,0.63,
2019-06-28,,,,,,,137.13,136.92,137.42,136.92,0.33,
2019-07-01,,,,,,,139.43,137.62,139.46,137.62,2.3,
2019-07-02,,,,,,,140.12,139.42,140.29,139.41,0.69,
2019-07-03,,,,,,,139.25,140.09,140.33,138.93,-0.87,
2019-07-04,,,,,,,139.93,139.12,139.93,139.12,0.68,
2019-07-05,,,,,,,140.44,139.88,140.54,139.88,0.51,
2019-07-08,,,,,,,140.24,140.35,140.59,139.89,-0.2,
2019-07-09,,,,,,,139.57,140.22,140.33,139.5,-0.67,
2019-07-10,,,,,,,140.2,139.49,140.2,139.49,0.63,
