日期,TWSE收盤指數,TWSE開盤價,TWSE最高價,TWSE最低價,TWSE漲跌點數,TWSE漲跌幅,TPEX收盤指數,TPEX開盤價,TPEX最高價,TPEX最低價,TPEX漲跌點數,TPEX漲跌幅
2020-06-02,,,,,,,149.05,149.47,150.32,148.66,-0.29,
2020-06-03,,,,,,,151.03,149.43,151.18,149.43,1.98,
2020-06-04,,,,,,,152.06,151.25,152.5,151.25,1.03,
2020-06-05,,,,,,,153.39,152.15,153.4,152.15,1.33,
2020-06-08,,,,,,,154.62,153.72,155.33,153.72,1.23,
2020-06-09,,,,,,,154.56,154.7,155.44,154.17,-0.06,
2020-06-10,,,,,,,155.76,154.61,156.16,154.61,1.2,
2020-06-11,,,,,,,152.42,155.75,156.63,152.2,-3.34,
2020-06-12,,,,,,,151.86,151.64,151.86,148.03,-0.56,
2020-06-15,,,,,,,151.41,151.93,153.13,151.41,-0.45,
2020-06-16,,,,,,,154.57,151.81,154.57,151.81,3.16,
2020-06-17,,,,,,,155.75,154.68,156.0,154.68,1.18,
2020-06-18,,,,,,,158.12,155.83,158.13,155.83,2.37,
2020-06-19,,,,,,,158.91,158.26,159.58,158.26,0.79,
2020-06-22,,,,,,,159.95,158.95,160.51,158.95,1.04,
2020-06-23,,,,,,,159.29,160.12,161.31,158.78,-0.66,
2020-06-24,,,,,,,159.63,159.43,160.57,159.32,0.34,
2020-06-29,,,,,,,158.89,159.47,160.06,158.8,-0.74,
2020-06-30,,,,,,,160.06,159.12,160.75,159.12,1.17,
2020-07-01,,,,,,,162.3,160.06,162.44,160.06,2.24,
2020-07-02,,,,,,,165.15,162.42,165.15,162.42,2.85,
2020-07-03,,,,,,,166.5,165.34,167.0,165.03,1.35,
2020-07-06,,,,,,,170.68,166.51,170.68,166.51,4.18,
2020-07-07,,,,,,,170.29,171.35,173.82,169.05,-0.39,
2020-07-08,,,,,,,173.95,170.28,174.06,170.25,3.66,
2020-07-09,,,,,,,175.94,174.22,177.29,174.22,1.99,
2020-07-10,,,,,,,171.9,175.99,176.72,171.04,-4.04,
2020-07-13,,,,,,,172.84,172.28,173.4,171.84,0.94,
2020-07-14,,,,,,,170.04,172.72,172.73,169.91,-2.8,
2020-07-15,,,,,,,167.86,170.3,171.1,167.8,-2.18,
2020-07-16,,,,,,,166.8,167.27,168.69,166.26,-1.06,
2020-07-17,,,,,,,162.85,166.96,167.29,162.43,-3.95,
2020-07-20,,,,,,,162.25,162.96,163.0,159.94,-0.6,
2020-07-21,,,,,,,163.7,162.46,164.53,162.37,1.45,
2020-07-22,,,,,,,166.42,163.68,166.42,163.68,2.72,
2020-07-23,,,,,,,166.21,166.31,167.84,165.01,-0.21,
2020-07-24,,,,,,,162.36,166.08,166.08,161.85,-3.85,
2020-07-27,,,,,,,160.64,162.93,164.48,160.49,-1.72,
2020-07-28,,,,,,,157.77,160.98,162.55,157.43,-2.87,
2020-07-29,,,,,,,159.61,157.84,160.61,157.71,1.84,
2020-07-30,,,,,,,161.73,160.0,161.73,160.0,2.12,
2020-07-31,,,,,,,163.21,161.77,163.35,161.73,1.48,
2020-08-03,,,,,,,163.25,163.24,164.65,162.89,0.04,
2020-08-04,,,,,,,164.98,163.38,165.01,163.38,1.73,
2020-08-05,,,,,,,166.98,165.18,167.14,165.18,2.0,
2020-08-06,,,,,,,166.11,167.0,168.22,166.03,-0.87,
2020-08-07,,,,,,,165.3,166.23,166.65,165.04,-0.81,
