日期,TWSE收盤指數,TWSE開盤價,TWSE最高價,TWSE最低價,TWSE漲跌點數,TWSE漲跌幅,TPEX收盤指數,TPEX開盤價,TPEX最高價,TPEX最低價,TPEX漲跌點數,TPEX漲跌幅
2022-04-14,,,,,,,207.93,207.83,208.8,207.42,0.15,
2022-04-15,,,,,,,204.31,207.7,207.7,204.06,-3.62,
2022-04-18,,,,,,,204.11,204.22,205.82,203.2,-0.2,
2022-04-19,,,,,,,204.76,204.59,206.62,204.59,0.65,
2022-04-20,,,,,,,205.5,205.34,206.65,204.77,0.74,
2022-04-21,,,,,,,206.86,205.75,207.23,205.75,1.36,
2022-04-22,,,,,,,203.51,206.49,206.49,203.44,-3.35,
2022-04-25,,,,,,,196.06,202.76,202.76,196.06,-7.45,
2022-04-26,,,,,,,194.66,196.64,198.12,194.35,-1.4,
2022-04-27,,,,,,,192.07,193.15,193.15,188.1,-2.59,
2022-04-28,,,,,,,193.45,192.17,194.89,191.98,1.38,
2022-04-29,,,,,,,194.82,193.96,196.93,193.96,1.37,
2022-05-03,,,,,,,195.17,194.85,195.73,194.24,0.35,
2022-05-04,,,,,,,195.17,195.21,196.84,194.76,0.0,
2022-05-05,,,,,,,198.55,195.94,199.12,195.94,3.38,
2022-05-06,,,,,,,196.17,197.54,197.54,193.98,-2.38,
2022-05-09,,,,,,,190.99,196.04,196.04,190.99,-5.18,
2022-05-10,,,,,,,192.34,190.38,192.34,187.45,1.35,
2022-05-11,,,,,,,191.93,192.45,193.52,191.18,-0.41,
2022-05-12,,,,,,,188.04,191.74,191.91,188.02,-3.89,
2022-05-13,,,,,,,192.28,188.47,192.54,188.47,4.24,
2022-05-16,,,,,,,192.81,192.82,195.21,192.52,0.53,
2022-05-17,,,,,,,195.99,193.02,195.99,193.02,3.18,
2022-05-18,,,,,,,197.74,196.43,198.18,196.43,1.75,
2022-05-19,,,,,,,197.11,196.67,197.11,193.53,-0.63,
2022-05-20,,,,,,,197.66,197.1,198.37,196.66,0.55,
2022-05-23,,,,,,,197.04,197.9,199.06,197.02,-0.62,
2022-05-24,,,,,,,192.58,197.11,197.71,192.58,-4.46,
2022-05-25,,,,,,,194.68,192.77,194.95,192.69,2.1,
2022-05-26,,,,,,,193.32,194.88,195.73,193.26,-1.36,
2022-05-27,,,,,,,196.91,193.75,197.04,193.75,3.59,
2022-05-30,,,,,,,201.12,197.59,201.12,197.59,4.21,
2022-05-31,,,,,,,202.48,201.05,202.56,200.71,1.36,
2022-06-01,,,,,,,203.57,202.44,204.38,202.44,1.09,
2022-06-02,,,,,,,202.85,203.42,204.01,202.7,-0.72,
2022-06-06,,,,,,,202.69,203.13,203.82,202.14,-0.16,
2022-06-07,,,,,,,202.53,202.53,203.2,202.08,-0.16,
2022-06-08,,,,,,,203.14,202.74,203.93,202.74,0.61,
2022-06-09,,,,,,,204.82,203.07,204.88,203.04,1.68,
2022-06-10,,,,,,,205.23,204.42,205.23,203.38,0.41,
2022-06-13,,,,,,,199.76,204.05,204.05,199.76,-5.47,
2022-06-14,,,,,,,199.25,199.24,199.34,195.49,-0.51,
2022-06-15,,,,,,,198.63,199.18,200.73,198.41,-0.62,
2022-06-16,,,,,,,195.21,199.33,201.5,195.21,-3.42,
2022-06-17,,,,,,,192.89,194.45,194.45,190.73,-2.32,
2022-06-20,,,,,,,186.37,193.0,193.37,186.37,-6.52,
2022-06-21,,,,,,,191.09,187.02,191.09,187.02,4.72,
2022-06-22,,,,,,,185.54,191.01,191.31,185.43,-5.55,
2022-06-23,,,,,,,185.54,185.99,187.55,183.83,0.0,
2022-06-24,,,,,,,187.01,185.97,188.08,185.97,1.47,
2022-06-27,,,,,,,191.35,187.55,191.6,187.55,4.34,
2022-06-28,,,,,,,187.91,191.13,191.19,187.64,-3.44,
2022-06-29,,,,,,,187.67,187.42,187.84,185.76,-0.24,
2022-06-30,,,,,,,181.09,187.19,187.19,180.89,-6.58,
2022-07-01,,,,,,,173.03,180.71,180.91,173.03,-8.06,
2022-07-04,,,,,,,170.88,172.36,173.64,170.18,-2.15,
2022-07-05,,,,,,,173.18,172.0,174.07,169.81,2.3,
2022-07-06,,,,,,,167.78,173.01,173.03,167.78,-5.4,
2022-07-07,,,,,,,171.82,168.0,171.87,166.23,4.04,
2022-07-08,,,,,,,174.67,172.45,176.2,172.45,2.85,
2022-07-11,,,,,,,174.06,174.66,175.51,173.04,-0.61,
2022-07-12,,,,,,,169.09,173.26,173.26,168.37,-4.97,
2022-07-13,,,,,,,171.03,169.96,172.94,169.96,1.94,
2022-07-14,,,,,,,174.03,170.69,174.03,169.64,3.0,
2022-07-15,,,,,,,175.73,173.96,175.73,173.2,1.7,
2022-07-18,,,,,,,178.75,175.85,178.75,175.85,3.02,
2022-07-19,,,,,,,178.37,178.34,179.18,177.58,-0.38,
2022-07-20,,,,,,,180.22,179.08,181.58,179.08,1.85,
2022-07-21,,,,,,,183.58,180.45,183.58,180.45,3.36,
2022-07-22,,,,,,,183.43,183.7,185.47,182.84,-0.15,
2022-07-25,,,,,,,182.96,183.14,183.6,182.27,-0.47,
2022-07-26,,,,,,,180.45,182.98,182.98,180.06,-2.51,
2022-07-27,,,,,,,182.07,180.17,182.07,179.16,1.62,
2022-07-28,,,,,,,181.66,182.49,183.82,181.45,-0.41,
2022-07-29,,,,,,,183.58,182.18,183.91,182.18,1.92,
2022-08-01,,,,,,,182.75,183.55,183.62,182.42,-0.83,
2022-08-02,,,,,,,179.3,182.03,182.03,178.42,-3.45,
2022-08-03,,,,,,,178.17,179.05,180.33,177.83,-1.13,
2022-08-04,,,,,,,178.18,177.8,178.39,175.59,0.01,
2022-08-05,,,,,,,182.37,178.46,182.37,178.46,4.19,
2022-08-08,,,,,,,182.95,182.2,182.95,180.84,0.58,
2022-08-09,,,,,,,183.52,182.49,183.62,181.68,0.57,
2022-08-10,,,,,,,182.12,182.99,183.12,182.1,-1.4,
2022-08-11,,,,,,,184.49,183.13,185.19,183.13,2.37,
2022-08-12,,,,,,,186.55,184.75,186.64,184.75,2.06,
2022-08-15,,,,,,,189.91,186.82,190.01,186.49,3.36,
2022-08-16,,,,,,,190.4,189.99,191.56,189.99,0.49,
2022-08-17,,,,,,,191.32,190.6,191.93,190.5,0.92,
2022-08-18,,,,,,,193.57,191.12,193.66,190.42,2.25,
2022-08-19,,,,,,,195.07,194.18,195.67,194.18,1.5,
2022-08-22,,,,,,,193.92,195.13,195.95,193.69,-1.15,
2022-08-23,,,,,,,193.96,194.05,194.07,192.45,0.04,
2022-08-24,,,,,,,194.79,194.68,196.09,194.68,0.83,
2022-08-25,,,,,,,197.49,195.13,197.79,195.13,2.7,
2022-08-26,,,,,,,198.53,197.94,199.99,197.94,1.04,
2022-08-29,,,,,,,195.05,196.76,196.76,193.0,-3.48,
2022-08-30,,,,,,,197.69,195.32,197.88,195.32,2.64,
2022-08-31,,,,,,,199.37,197.76,199.66,197.44,1.68,
2022-09-01,,,,,,,196.53,199.06,199.06,195.97,-2.84,
2022-09-02,,,,,,,196.69,196.93,198.19,196.23,0.16,
2022-09-05,,,,,,,193.73,196.97,197.63,193.73,-2.96,
2022-09-06,,,,,,,190.81,194.08,194.94,189.84,-2.92,
2022-09-07,,,,,,,188.93,190.29,190.29,187.14,-1.88,
2022-09-08,,,,,,,192.97,189.34,192.97,189.34,4.04,
2022-09-12,,,,,,,194.82,193.45,195.38,193.45,1.85,
2022-09-13,,,,,,,195.25,195.08,196.28,194.97,0.43,
2022-09-14,,,,,,,195.06,193.98,195.06,190.93,-0.19,
2022-09-15,,,,,,,193.89,195.32,196.78,193.89,-1.17,
2022-09-16,,,,,,,191.48,193.71,193.84,191.28,-2.41,
2022-09-19,,,,,,,188.83,191.64,191.82,188.59,-2.65,
2022-09-20,,,,,,,190.04,189.21,190.59,189.21,1.21,
2022-09-21,,,,,,,188.31,189.87,190.1,187.9,-1.73,
2022-09-22,,,,,,,188.76,187.94,188.86,186.12,0.45,
2022-09-23,,,,,,,184.74,188.66,189.59,184.01,-4.02,
2022-09-26,,,,,,,176.87,184.01,184.01,176.43,-7.87,
2022-09-27,,,,,,,177.95,177.22,178.0,174.38,1.08,
2022-09-28,,,,,,,169.6,177.97,177.97,169.6,-8.35,
2022-09-29,,,,,,,171.95,170.72,174.16,170.41,2.35,
2022-09-30,,,,,,,173.42,171.11,173.42,168.08,1.47,
2022-10-03,,,,,,,172.4,172.84,173.83,171.12,-1.02,
