日期,TWSE收盤指數,TWSE開盤價,TWSE最高價,TWSE最低價,TWSE漲跌點數,TWSE漲跌幅,TPEX收盤指數,TPEX開盤價,TPEX最高價,TPEX最低價,TPEX漲跌點數,TPEX漲跌幅
2018-10-22,,,,,,,118.59,116.96,118.68,116.41,1.39,
2018-10-23,,,,,,,116.25,118.36,118.36,116.25,-2.34,
2018-10-24,,,,,,,115.74,116.02,116.6,114.93,-0.51,
2018-10-25,,,,,,,111.33,115.03,115.03,111.0,-4.41,
2018-10-26,,,,,,,109.93,111.54,113.04,109.56,-1.4,
2018-10-29,,,,,,,110.54,110.02,110.94,109.14,0.61,
2018-10-30,,,,,,,110.61,110.41,110.88,109.7,0.07,
2018-10-31,,,,,,,113.83,110.83,114.05,110.83,3.22,
2018-11-01,,,,,,,116.73,113.84,116.82,113.84,2.9,
2018-11-02,,,,,,,118.5,116.84,119.47,116.84,1.77,
2018-11-05,,,,,,,118.76,118.31,118.76,117.53,0.26,
2018-11-06,,,,,,,116.71,118.84,119.28,116.67,-2.05,
2018-11-07,,,,,,,118.74,116.66,118.74,116.66,2.03,
2018-11-08,,,,,,,118.86,119.04,120.75,118.83,0.12,
2018-11-09,,,,,,,118.74,118.78,119.3,118.03,-0.12,
2018-11-12,,,,,,,118.23,118.51,118.67,117.92,-0.51,
2018-11-13,,,,,,,117.87,117.66,117.87,115.45,-0.36,
2018-11-14,,,,,,,118.18,117.93,119.03,117.93,0.31,
2018-11-15,,,,,,,118.64,118.26,118.76,117.78,0.46,
2018-11-16,,,,,,,118.83,118.77,120.07,118.77,0.19,
2018-11-19,,,,,,,119.86,118.93,119.89,118.93,1.03,
2018-11-20,,,,,,,119.64,119.75,120.12,119.04,-0.22,
2018-11-21,,,,,,,121.0,119.63,121.0,119.11,1.36,
2018-11-22,,,,,,,120.19,121.04,122.07,120.16,-0.81,
2018-11-23,,,,,,,119.19,120.31,121.0,119.19,-1.0,
2018-11-26,,,,,,,120.64,119.31,120.67,119.31,1.45,
2018-11-27,,,,,,,123.21,120.64,123.22,120.64,2.57,
2018-11-28,,,,,,,125.15,123.29,125.27,123.29,1.94,
2018-11-29,,,,,,,126.45,125.42,127.16,125.42,1.3,
2018-11-30,,,,,,,127.28,126.59,127.64,126.59,0.83,
2018-12-03,,,,,,,130.63,127.86,130.96,127.86,3.35,
2018-12-04,,,,,,,129.99,130.71,130.93,129.82,-0.64,
2018-12-05,,,,,,,128.01,129.58,129.58,127.48,-1.98,
2018-12-06,,,,,,,123.81,127.93,128.19,123.47,-4.2,
2018-12-07,,,,,,,125.46,124.05,125.73,124.05,1.65,
2018-12-10,,,,,,,123.74,125.23,125.23,122.91,-1.72,
2018-12-11,,,,,,,124.6,123.84,124.84,123.84,0.86,
2018-12-12,,,,,,,126.83,124.84,126.91,124.84,2.23,
2018-12-13,,,,,,,127.35,127.07,128.05,126.82,0.52,
2018-12-14,,,,,,,126.68,127.33,127.33,125.87,-0.67,
2018-12-17,,,,,,,126.77,126.7,127.49,126.34,0.09,
2018-12-18,,,,,,,125.38,126.74,126.76,125.23,-1.39,
2018-12-19,,,,,,,124.76,125.59,126.44,124.76,-0.62,
2018-12-20,,,,,,,122.84,124.69,124.69,122.41,-1.92,
2018-12-21,,,,,,,124.02,122.83,124.02,121.84,1.18,
2018-12-22,,,,,,,123.77,123.98,123.98,123.45,-0.25,
2018-12-24,,,,,,,124.08,123.79,124.22,123.54,0.31,
2018-12-25,,,,,,,122.62,123.8,123.8,121.75,-1.46,
2018-12-26,,,,,,,121.5,122.75,123.93,121.5,-1.12,
2018-12-27,,,,,,,123.64,121.97,124.08,121.97,2.14,
2018-12-28,,,,,,,123.54,123.71,124.04,123.28,-0.1,
2019-01-02,,,,,,,123.89,123.72,124.42,123.72,0.35,
2019-01-03,,,,,,,123.03,123.73,124.45,122.96,-0.86,
2019-01-04,,,,,,,122.33,122.79,122.79,120.68,-0.7,
2019-01-07,,,,,,,124.15,122.65,124.29,122.65,1.82,
2019-01-08,,,,,,,124.71,124.26,125.0,124.21,0.56,
2019-01-09,,,,,,,125.48,124.84,126.04,124.84,0.77,
2019-01-10,,,,,,,125.83,125.54,126.4,125.54,0.35,
2019-01-11,,,,,,,125.61,125.96,126.63,125.45,-0.22,
2019-01-14,,,,,,,124.86,125.69,125.99,124.73,-0.75,
2019-01-15,,,,,,,126.18,124.96,126.18,124.96,1.32,
2019-01-16,,,,,,,126.52,126.22,126.81,126.21,0.34,
2019-01-17,,,,,,,125.98,126.61,127.24,125.92,-0.54,
2019-01-18,,,,,,,126.61,126.09,126.61,126.09,0.63,
2019-01-21,,,,,,,127.42,126.7,127.51,126.7,0.81,
2019-01-22,,,,,,,127.03,127.41,127.93,126.97,-0.39,
2019-01-23,,,,,,,127.52,126.95,127.52,126.52,0.49,
