日期,TWSE收盤指數,TWSE開盤價,TWSE最高價,TWSE最低價,TWSE漲跌點數,TWSE漲跌幅,TPEX收盤指數,TPEX開盤價,TPEX最高價,TPEX最低價,TPEX漲跌點數,TPEX漲跌幅
2021-10-07,,,,,,,202.58,197.45,202.66,197.45,5.59,
2021-10-08,,,,,,,203.12,202.83,204.7,202.47,0.54,
2021-10-12,,,,,,,200.8,203.08,203.08,200.58,-2.32,
2021-10-13,,,,,,,196.74,201.02,201.66,196.74,-4.06,
2021-10-14,,,,,,,198.27,197.29,199.53,196.76,1.53,
2021-10-15,,,,,,,202.09,198.96,202.56,198.96,3.82,
2021-10-18,,,,,,,202.41,202.27,203.17,201.64,0.32,
2021-10-19,,,,,,,205.97,202.55,206.1,202.55,3.56,
2021-10-20,,,,,,,206.99,206.02,207.72,206.02,1.02,
2021-10-21,,,,,,,207.33,207.19,209.82,207.14,0.34,
2021-10-22,,,,,,,208.27,207.51,208.66,206.78,0.94,
2021-10-25,,,,,,,208.36,208.21,208.63,207.27,0.09,
2021-10-26,,,,,,,208.74,208.62,210.52,208.62,0.38,
2021-10-27,,,,,,,212.34,209.15,212.39,209.15,3.6,
2021-10-28,,,,,,,212.49,212.55,213.52,211.99,0.15,
2021-10-29,,,,,,,214.43,213.46,215.36,213.36,1.94,
2021-11-01,,,,,,,217.52,214.7,217.89,214.7,3.09,
2021-11-02,,,,,,,215.36,218.0,220.41,214.79,-2.16,
2021-11-03,,,,,,,215.73,215.81,217.23,213.85,0.37,
2021-11-04,,,,,,,214.78,216.21,217.66,214.78,-0.95,
2021-11-05,,,,,,,215.9,214.93,216.53,214.68,1.12,
2021-11-08,,,,,,,214.81,215.99,216.6,214.62,-1.09,
2021-11-09,,,,,,,216.93,215.32,217.71,215.32,2.12,
2021-11-10,,,,,,,217.51,217.03,217.64,216.14,0.58,
2021-11-11,,,,,,,217.39,217.37,218.84,216.74,-0.12,
2021-11-12,,,,,,,218.43,217.69,219.97,217.69,1.04,
2021-11-15,,,,,,,221.19,218.81,221.67,218.81,2.76,
2021-11-16,,,,,,,222.09,221.43,223.42,221.43,0.9,
2021-11-17,,,,,,,224.07,222.43,224.3,222.21,1.98,
2021-11-18,,,,,,,225.48,224.42,226.25,224.42,1.41,
2021-11-19,,,,,,,225.74,226.22,227.89,225.24,0.26,
2021-11-22,,,,,,,229.18,226.09,229.36,226.09,3.44,
2021-11-23,,,,,,,225.81,229.17,229.52,225.58,-3.37,
2021-11-24,,,,,,,227.03,226.13,228.52,225.85,1.22,
2021-11-25,,,,,,,226.27,227.21,228.41,226.08,-0.76,
2021-11-26,,,,,,,222.65,226.0,226.13,221.49,-3.62,
2021-11-29,,,,,,,223.84,222.43,224.85,219.56,1.19,
2021-11-30,,,,,,,226.29,224.61,227.84,224.61,2.45,
2021-12-01,,,,,,,226.56,225.8,226.69,224.96,0.27,
2021-12-02,,,,,,,225.67,226.43,228.22,225.04,-0.89,
2021-12-03,,,,,,,227.88,226.19,228.13,226.19,2.21,
2021-12-06,,,,,,,228.07,227.79,228.76,227.3,0.19,
2021-12-07,,,,,,,227.87,228.14,229.27,227.05,-0.2,
2021-12-08,,,,,,,229.85,228.48,230.96,228.48,1.98,
2021-12-09,,,,,,,229.77,229.96,230.88,229.2,-0.08,
2021-12-10,,,,,,,230.4,229.58,230.9,229.0,0.63,
2021-12-13,,,,,,,230.98,230.78,232.11,230.62,0.58,
2021-12-14,,,,,,,226.83,230.97,231.29,226.52,-4.15,
2021-12-15,,,,,,,229.19,227.09,229.34,226.79,2.36,
2021-12-16,,,,,,,232.69,229.84,233.05,229.84,3.5,
2021-12-17,,,,,,,230.45,232.36,232.36,229.99,-2.24,
2021-12-20,,,,,,,228.47,230.58,231.21,228.38,-1.98,
2021-12-21,,,,,,,230.28,228.56,230.42,228.02,1.81,
2021-12-22,,,,,,,231.87,230.46,232.46,230.46,1.59,
2021-12-23,,,,,,,233.35,232.15,234.09,232.15,1.48,
2021-12-24,,,,,,,233.2,233.78,235.29,233.0,-0.15,
2021-12-27,,,,,,,233.85,233.33,234.65,233.29,0.65,
2021-12-28,,,,,,,235.22,234.28,235.72,234.28,1.37,
2021-12-29,,,,,,,236.27,235.28,236.54,235.28,1.05,
2021-12-30,,,,,,,237.55,236.48,237.71,236.48,1.28,
2022-01-03,,,,,,,235.4,237.91,238.92,235.31,-2.15,
2022-01-04,,,,,,,235.53,235.88,237.2,235.46,0.13,
2022-01-05,,,,,,,233.22,235.65,235.69,232.99,-2.31,
2022-01-06,,,,,,,231.22,232.68,232.68,230.42,-2.0,
2022-01-07,,,,,,,226.61,231.43,232.22,225.59,-4.61,
2022-01-10,,,,,,,227.64,226.1,227.64,224.94,1.03,
2022-01-11,,,,,,,224.0,227.66,228.03,223.62,-3.64,
2022-01-12,,,,,,,224.49,224.42,226.88,223.64,0.49,
2022-01-13,,,,,,,224.02,224.45,225.38,223.28,-0.47,
2022-01-14,,,,,,,222.04,223.6,223.64,219.07,-1.98,
2022-01-17,,,,,,,224.18,222.12,224.18,221.63,2.14,
2022-01-18,,,,,,,223.79,224.1,226.02,223.73,-0.39,
2022-01-19,,,,,,,222.04,223.23,223.23,221.22,-1.75,
2022-01-20,,,,,,,222.11,222.01,222.67,221.14,0.07,
2022-01-21,,,,,,,217.66,221.6,221.6,217.59,-4.45,
2022-01-24,,,,,,,218.19,217.44,218.36,213.39,0.53,
2022-01-25,,,,,,,214.97,217.9,217.94,214.95,-3.22,
2022-01-26,,,,,,,215.03,214.9,216.15,213.97,0.06,
2022-02-07,,,,,,,216.99,215.6,216.99,214.46,1.96,
2022-02-08,,,,,,,218.65,216.92,218.75,216.92,1.66,
2022-02-09,,,,,,,221.0,218.8,221.16,218.8,2.35,
